id,temperature,humidity,year,month,date_of_month,day_of_week,hour,created_at
"1","16.00","40.00","2015","03","19","4","23","1426774779"
"2","16.00","40.00","2015","03","19","4","23","1426775079"
"3","16.00","40.00","2015","03","19","4","23","1426775379"
"4","16.00","41.00","2015","03","19","4","23","1426775679"
"5","17.00","41.00","2015","03","19","4","23","1426775979"
"6","17.00","41.00","2015","03","19","4","23","1426776279"
"7","17.00","41.00","2015","03","19","4","23","1426776579"
"8","17.00","41.00","2015","03","19","4","23","1426776879"
"9","17.00","41.00","2015","03","19","4","23","1426777179"
"10","17.00","41.00","2015","03","20","5","00","1426777479"
"11","17.00","41.00","2015","03","20","5","00","1426777779"
"12","17.00","41.00","2015","03","20","5","00","1426778079"
"13","17.00","41.00","2015","03","20","5","00","1426778379"
"14","17.00","42.00","2015","03","20","5","00","1426778679"
"15","17.00","42.00","2015","03","20","5","00","1426778979"
"16","17.00","42.00","2015","03","20","5","00","1426779279"
"17","17.00","42.00","2015","03","20","5","00","1426779579"
"18","17.00","42.00","2015","03","20","5","00","1426779879"
"19","17.00","42.00","2015","03","20","5","00","1426780179"
"20","17.00","42.00","2015","03","20","5","00","1426780479"
"21","17.00","42.00","2015","03","20","5","00","1426780779"
"22","17.00","42.00","2015","03","20","5","01","1426781079"
"23","17.00","42.00","2015","03","20","5","01","1426781379"
"24","17.00","42.00","2015","03","20","5","01","1426781679"
"25","17.00","42.00","2015","03","20","5","01","1426781979"
"26","17.00","42.00","2015","03","20","5","01","1426782279"
"27","17.00","42.00","2015","03","20","5","01","1426782579"
"28","17.00","42.00","2015","03","20","5","01","1426782879"
"29","17.00","43.00","2015","03","20","5","01","1426783179"
"30","17.00","43.00","2015","03","20","5","01","1426783479"
"31","17.00","43.00","2015","03","20","5","01","1426783779"
"32","17.00","43.00","2015","03","20","5","01","1426784079"
"33","17.00","43.00","2015","03","20","5","01","1426784379"
"34","17.00","43.00","2015","03","20","5","02","1426784679"
"35","17.00","44.00","2015","03","20","5","02","1426784979"
"36","17.00","44.00","2015","03","20","5","02","1426785279"
"37","17.00","44.00","2015","03","20","5","02","1426785579"
"38","17.00","44.00","2015","03","20","5","02","1426785879"
"39","17.00","44.00","2015","03","20","5","02","1426786179"
"40","17.00","44.00","2015","03","20","5","02","1426786479"
"41","17.00","44.00","2015","03","20","5","02","1426786779"
"42","17.00","44.00","2015","03","20","5","02","1426787079"
"43","17.00","44.00","2015","03","20","5","02","1426787379"
"44","17.00","44.00","2015","03","20","5","02","1426787679"
"45","17.00","44.00","2015","03","20","5","02","1426787979"
"46","17.00","44.00","2015","03","20","5","03","1426788279"
"47","17.00","46.00","2015","03","20","5","03","1426788579"
"48","17.00","45.00","2015","03","20","5","03","1426788880"
"49","17.00","45.00","2015","03","20","5","03","1426789180"
"50","17.00","46.00","2015","03","20","5","03","1426789480"
"51","17.00","46.00","2015","03","20","5","03","1426789780"
"52","17.00","46.00","2015","03","20","5","03","1426790080"
"53","17.00","47.00","2015","03","20","5","03","1426790380"
"54","17.00","47.00","2015","03","20","5","03","1426790680"
"55","17.00","47.00","2015","03","20","5","03","1426790980"
"56","17.00","47.00","2015","03","20","5","03","1426791280"
"57","17.00","47.00","2015","03","20","5","03","1426791580"
"58","17.00","47.00","2015","03","20","5","04","1426791880"
"59","17.00","47.00","2015","03","20","5","04","1426792180"
"60","17.00","47.00","2015","03","20","5","04","1426792480"
"61","17.00","47.00","2015","03","20","5","04","1426792780"
"62","17.00","47.00","2015","03","20","5","04","1426793080"
"63","17.00","48.00","2015","03","20","5","04","1426793380"
"64","17.00","48.00","2015","03","20","5","04","1426793680"
"65","17.00","48.00","2015","03","20","5","04","1426793980"
"66","17.00","48.00","2015","03","20","5","04","1426794280"
"67","17.00","48.00","2015","03","20","5","04","1426794580"
"68","17.00","48.00","2015","03","20","5","04","1426794880"
"69","17.00","48.00","2015","03","20","5","04","1426795180"
"70","17.00","48.00","2015","03","20","5","05","1426795480"
"71","17.00","48.00","2015","03","20","5","05","1426795780"
"72","17.00","48.00","2015","03","20","5","05","1426796080"
"73","17.00","49.00","2015","03","20","5","05","1426796380"
"74","17.00","48.00","2015","03","20","5","05","1426796680"
"75","17.00","48.00","2015","03","20","5","05","1426796980"
"76","17.00","48.00","2015","03","20","5","05","1426797280"
"77","17.00","48.00","2015","03","20","5","05","1426797580"
"78","17.00","48.00","2015","03","20","5","05","1426797880"
"79","17.00","49.00","2015","03","20","5","05","1426798180"
"80","17.00","49.00","2015","03","20","5","05","1426798480"
"81","17.00","49.00","2015","03","20","5","05","1426798780"
"82","17.00","49.00","2015","03","20","5","06","1426799080"
"83","17.00","49.00","2015","03","20","5","06","1426799380"
"84","17.00","49.00","2015","03","20","5","06","1426799680"
"85","17.00","49.00","2015","03","20","5","06","1426799980"
"86","17.00","49.00","2015","03","20","5","06","1426800280"
"87","17.00","49.00","2015","03","20","5","06","1426800580"
"88","17.00","49.00","2015","03","20","5","06","1426800880"
"89","17.00","49.00","2015","03","20","5","06","1426801180"
"90","17.00","49.00","2015","03","20","5","06","1426801480"
"91","17.00","49.00","2015","03","20","5","06","1426801780"
"92","17.00","49.00","2015","03","20","5","06","1426802081"
"93","17.00","49.00","2015","03","20","5","06","1426802381"
"94","17.00","49.00","2015","03","20","5","07","1426802681"
"95","17.00","49.00","2015","03","20","5","07","1426802981"
"96","17.00","53.00","2015","03","20","5","07","1426803281"
"97","17.00","63.00","2015","03","20","5","07","1426803581"
"98","18.00","69.00","2015","03","20","5","07","1426803881"
"99","18.00","75.00","2015","03","20","5","07","1426804181"
